DoodleDate,Doodle
3/16/2015,Anna Atkins' 216th Birthday
4/14/2015,155th Anniversary of the Pony Express
4/14/2015,Khmer New Year 2015
4/13/2015,Teacher's Day 2015 (Ecuador)
4/14/2015,Bangladesh New Year 2015
5/19/2015,45th Anniversary of the creation of Barbapapa
3/17/2015,St. Patrick's Day 2015
3/19/2015,"Father's Day 2015 (IT, ES, BO, HN, HR, PT, MZ)"
4/15/2015,Start of Asparagus Season 2015
4/17/2015,Cevat ?akir Kabaa?açl?’s 125th Birthday
5/26/2015,Mother's Day 2015 (Poland)
6/25/2015,Mozambique Independence Day 2015
3/18/2015,Cricket World Cup 2015 - Quarterfinals #1 - Sri Lanka vs. South Africa
3/19/2015,Cricket World Cup 2015 - Quarterfinals #2 - Bangladesh vs. India
3/20/2015,First Day of Spring 2015 (Northern Hemisphere)
3/17/2015,Israel Elections 2015
6/24/2015,Copa América 2015 - Quarterfinals #1 - Chile v Uruguay
3/20/2015,First Day of Spring 2015/Solar Eclipse
4/19/2015,Finland Parliamentary Elections 2015
5/26/2015,Sally Ride’s 64th Birthday
5/27/2015,Mother's Day 2015 (Bolivia)
3/20/2015,Cricket World Cup 2015 - Quarterfinals #3 - Australia vs. Pakistan
3/21/2015,First Day of Fall 2015 (Southern Hemisphere)
3/21/2015,"First Day of Spring 2015 (CY, FI, GR, JP, KR, TR, CN, HK, TW)"
3/20/2015,Tunisia National Day 2015
4/21/2015,81st Anniversary of the Loch Ness Monster's most famous photograph
4/22/2015,Earth Day 2015
4/23/2015,Yom Ha'atzmaut 2015
3/21/2015,Cricket World Cup 2015 - Quarterfinals #4 - New Zealand vs. West Indies
6/25/2015,Copa América 2015 - Quarterfinals #2 - Bolivia v Peru
3/21/2015,Mother's Day 2015 (MENA)
5/27/2015,Children's Day 2015 (Nigeria)
4/23/2015,St. George's Day 2015
4/23/2015,Shoen Uemura’s 140th Birthday
4/23/2015,Ngaio Marsh’s 122nd Birthday
4/23/2015,Children's Day 2015 (Turkey)
5/31/2015,"Mother's Day 2015 (FR, SN, DO, DZ, TN, SE, MA)"
5/29/2015,Nepal Republic Day 2015
3/22/2015,French Elections 2015
6/26/2015,Copa América 2015 - Quarterfinals #3 - Argentina v Colombia
3/21/2015,Nowruz 2015
3/23/2015,Emmy Noether's 133rd Birthday
4/24/2015,Doodle 4 Google 2015 — Ireland Winner
4/24/2015,Doodle 4 Google 2015 — Russia Winner
4/25/2015,Children's Day 2015 (Colombia)
6/27/2015,Copa América 2015 - Quarterfinals #4 - Brazil v Paraguay
3/25/2015,Mother's Day 2015 (Slovenia)
4/25/2015,100th anniversary of the ANZAC landings at Gallipoli
3/24/2015,Cricket World Cup 2015 - Semifinals #1 - New Zealand vs. South Africa
3/26/2015,Bangladesh National Day 2015
4/27/2015,Freedom Day 2015
6/30/2015,Copa América 2015 - Semifinals #2 - Argentina v Paraguay
3/26/2015,Hwang Sun-won’s 100th Birthday
4/27/2015,Netherlands King's Day 2015
3/26/2015,Cricket World Cup 2015 - Semifinals #2 - Australia vs. India
6/29/2015,Copa América 2015 - Semifinals #1 - Chile v Peru
3/28/2015,Nigeria Elections 2015
3/27/2015,Tashiro Furukawa’s 170th Birthday
3/29/2015,Cricket World Cup 2015 - Finals
3/29/2015,Cricket World Cup 2015 - Finals - Australian Champions
3/31/2015,Seif Wanly’s 109th Birthday
3/31/2015,126th Anniversary of the public opening of the Eiffel Tower
2/1/2015,Langston Hughes’ 113th Birthday
4/30/2015,Children's Day 2015 (Mexico)
