DoodleDate,Doodle
2/29/2012,Gioachino Rossini's 220th Birthday / Leap Year 2012
2/4/2011,Family Day 2010
9/1/2010,First Day of School 2010
9/6/2010,Google Instant Launch
9/2/2010,Vietnam National Day 2010
9/4/2010,25th Anniversary of Buckyball
9/7/2010,Brazil Independence Day 2010
9/10/2010,1000th Anniversary of Yaroslavl
9/14/2010,Akatsuka Fujio's 75th Birthday
11/11/2010,Veterans Day 2010
11/8/2010,Discovery of X-rays
2/6/2010,Sami National Day 2010
9/12/2010,Discovery of Grotte de Lascaux
11/2/2010,Day of the Dead 2010
11/2/2010,Melbourne Cup 2010
12/1/2010,55th Anniversary: Rosa Parks refuses to move
2/9/2010,Natsume Soseki's Birthday
2/2/2010,Doodle 4 Google 2010 - New Zealand Winner
2/3/2010,Norman Rockwell's 106th Birthday - 1926 SEPS by Curtis Publishing
9/15/2010,Doodle 4 Google 2010 - Mexico Winner
9/15/2010,Costa Rica Independence Day 2010
11/11/2010,Polish Independence Day 2010
11/14/2010,Birthday of Taha Hussein
12/1/2010,Romanian National Day 2010
11/13/2010,Robert Louis Stevenson's 160th Birthday
2/11/2010,2010 Vancouver Olympic Games - Opening Ceremony (Asia)
2/11/2010,Napoleon Orda's Birthday
2/11/2010,New Year Celebration 2010
8/1/2010,Swiss National Day 2010
9/15/2010,Agatha Christie's 120th Birthday
9/15/2010,El Salvador Independence Day 2010
11/12/2010,Dr. Sun Yat-sen's Birthday
2/11/2010,2010 Vancouver Olympic Games - Opening Ceremony
8/6/2010,Bolivia Independence Day 2010
8/15/2010,National Liberation Day of Korea 2010
9/16/2010,Mexico Independence Day 2010
11/21/2010,Loy Krathong Festival 2010
11/18/2010,Morocco Independence Day 2010
12/2/2010,UAE National Day 2010
2/12/2010,Carnival 2010
6/6/2010,Sweden National Day 2010
6/8/2010,Robert Schumann's 200th Birthday
8/12/2010,Mother's Day / Doodle 4 Google 2010 - Thailand Winner
8/15/2010,India Independence Day 2010
8/16/2010,Chinese Valentine's Day 2010
9/18/2010,Doodle 4 Google 2010 - Chile Winner
11/14/2010,Children's Day / Doodle 4 Google 2010 - India Winner
12/3/2010,World Cup 2022 - Qatar
12/3/2010,World Cup 2018 - Russia
2/12/2010,2010 Vancouver Olympic Games - Luge
6/2/2010,Republic Day Italy 2010
6/5/2010,Dennis Gabor´s 110th birthday - Holography support courtesy of the Departments of Electrical Engineering and Applied Physics at Stanford University
8/9/2010,Singapore National Day 2010
8/10/2010,Ecuador Independence Day 2010
8/12/2010,71st Anniversary of The Wizard of Oz
8/16/2010,"Gozan no Okuribi, iconic festivals of Kyoto"
8/17/2010,Indonesia Independence Day - 2010
8/19/2010,Anniversary of Belka and Strelka Space Flight
8/21/2010,Australian Federal Elections 2010
8/21/2010,August Bournonville's 205th Birthday
8/24/2010,Ukraine Independence Day 2010
9/18/2010,Oktoberfest 2010
9/20/2010,140th Anniversary of Rome
9/21/2010,Belize Independence Day 2010
12/5/2010,Thailand National Day 2010
12/5/2010,St. Nicolas Eve 2010
12/6/2010,St. Nicolas Day 2010
2/13/2010,Lunar New Year's Eve 2010
2/13/2010,2010 Vancouver Olympic Games - Snowboarding
6/11/2010,Doodle 4 Google 2010 - South Africa Winner
6/9/2010,Argentina Independence Day / Doodle for Google 2010 - Winner
6/11/2010,Jacques Cousteau's 100th Birthday
7/1/2010,Canada Day 2010
8/30/2010,Mary Shelley's 213th Birthday
11/22/2010,Lebanon Independence Day 2010
11/23/2010,Labor Thanksgiving Day 2010
11/23/2010,134th Birthday of Manuel de Falla
11/23/2010,"Thanksgiving 2010 by Ina Garten, part 1"
2/14/2010,Valentine's Day / 2010 Vancouver Olympic Games - Pairs Skating
6/11/2010,Doodle 4 Google 2010 - France Winner
6/11/2010,World Cup 2010 Final
9/22/2010,Korean Thanksgiving 2010
11/25/2010,"Thanksgiving 2010 by Ina Garten, part 3"
12/11/2010,Alfred de Musset's Birthday
2/14/2010,Lunar New Year 2010 - Multiple Countries
6/11/2010,World Cup 2010 Opening Day
6/12/2010,Russia Day 2010
6/12/2010,Valentine's Day 2010 - Brazil
7/1/2010,East Africa Common Market
9/21/2010,Juan de la Cierva's 115th Birthday
10/3/2010,German Reunification Day 2010
10/1/2010,China National Day 2010
10/1/2010,Nigeria Independence Day 2010
12/11/2010,Carlos Gardel's Birthday
12/12/2010,Kenya Independence Day 2010
12/16/2010,Jane Austen's 235th Birthday
11/24/2010,"Thanksgiving 2010 by Ina Garten, part 2"
2/15/2010,2010 Vancouver Olympic Games - Cross Country Skiing
7/4/2010,4th of July 2010 and Rube Goldberg's Birthday
10/9/2010,Hangul Proclamation Day 2010
10/11/2010,Cahit Arf's 100th Birthday
10/5/2010,Nachum Gutman's 112th Birthday
10/8/2010,César Milstein's 73rd Birthday
10/8/2010,John Lennon's 70th Birthday
11/26/2010,65th Birthday of Pippi Longstocking
2/16/2010,2010 Vancouver Olympic Games - Curling
6/12/2010,Doodle 4 Google 2010 - Korea Winner
6/12/2010,Doodle 4 Google 2010 - UK by Daniel Joel
9/23/2010,Saudi Arabia National Day 2010
9/22/2010,Moon Festival / Mid-Autumn Festival 2010
10/11/2010,Canadian Thanksgiving 2010
11/25/2010,Nikolay Pirogov's 200th Birthday
11/28/2010,Panama Independence Day 2010
11/29/2010,Doodle 4 Google 2010 - Japan Winner
12/19/2010,Edith Piaf's 95th Birthday
12/20/2010,Mehmet Akif Ersoy's Birthday
11/27/2010,Bruce Lee's 70th Birthday
12/23/2010,Happy Holidays from Google - 2010
2/17/2010,2010 Vancouver Olympic Games - Skiing
6/12/2010,Philippines Independence Day 2010
6/13/2010,Doodle 4 Google 2010 - Australia Winner
6/13/2010,Doodle 4 Google 2010 - Germany Winner
7/7/2010,Tanabata 2010
7/6/2010,Frida Kahlo's 103rd Birthday
9/27/2010,Google's 12th Birthday by Wayne Thiebaud.
10/16/2010,Double Ninth Festival 2010
9/30/2010,Flintstones' 50th Anniversary
11/30/2010,St. Andrew's Day 2010
2/21/2010,2010 Vancouver Olympic Games - Bobsleigh
6/13/2010,Doodle 4 Google 2010 - Ghana Winner
6/13/2010,Asteroid Explorer Hayabusa Returns
6/14/2010,Doodle 4 Google 2010 - Netherlands Winner
10/12/2010,Doodle 4 Google 2010 - South America Winner
10/16/2010,Ahmad Shawqi's Birthday
10/16/2010,Oscar Wilde's 156th Birthday
10/21/2010,Dizzy Gillespie's Birthday
10/23/2010,Hungary Republic Day 2010
12/30/2010,"Birthday of Yun, Dong-ju"
5/1/2010,Labour Day 2010
2/19/2010,2010 Vancouver Olympic Games - Ski Jump
2/19/2010,2010 Vancouver Olympic Games - Alpine Skiing
2/18/2010,2010 Vancouver Olympic Games - Skeleton
6/14/2010,Doodle 4 Google 2010 - UAE Winner
7/14/2010,Bastille Day 2010
7/13/2010,Naomi Shemer 80th Birthday
10/26/2010,Austrian National Day 2010
10/31/2010,Birthday of Katsushika Hokusai
5/1/2010,World Expo Opens in Shanghai
5/5/2010,Rocket Festival
5/5/2010,Patios Cordobeses
2/24/2010,2010 Vancouver Olympic Games - Ice Hockey
6/14/2010,Doodle 4 Google 2010 - Israel Winner
10/29/2010,Turkish National Day 2010
10/31/2010,2500th Anniversary of the Marathon
10/24/2010,Menino Maluquinho's Birthday
5/2/2010,Mother's Day 2010 - Multiple Countries on Various Dates
5/4/2010,Umm Kalthum's Birthday
2/27/2010,2010 Vancouver Olympic Games - Speed Skating
2/26/2010,2010 Vancouver Olympic Games - Short Track
2/22/2010,2010 Vancouver Olympic Games - Figure Skating
2/23/2010,2010 Vancouver Olympic Games - Freestyle Skiing
2/25/2010,2010 Vancouver Olympic Games - Nordic
2/25/2010,Kuwait National Day 2010
6/14/2010,Doodle 4 Google 2010 - Kenya Winner
6/14/2010,Doodle 4 Google 2010 - Hong Kong Winner
6/14/2010,Doodle 4 Google 2010 - Italy Winner
6/14/2010,Doodle 4 Google 2010 - Czech Republic Winner
10/31/2010,Halloween 2010
7/15/2010,Josef Frank's 125th Birthday
5/6/2010,U.K. Election Day
4/2/2010,Hans Christian Andersen's 205th Birthday
2/28/2010,2010 Vancouver Olympic Games - Closing Ceremony
5/9/2010,J.M. Barrie's 150th Birthday
7/20/2010,Nam June Paik
5/9/2010,Mother's Day 2010 - USA
4/1/2010,April Fool's Day 2010
6/14/2010,Doodle 4 Google 2010 - Taiwan Winner
6/16/2010,Doodle 4 Google 2010 - Spain by Julia Egido Martínez
6/16/2010,Dragon Boat Festival 2010
6/21/2010,First Day of Summer 2010
6/21/2010,First Day of Winter 2010
5/7/2010,Pyotr Ilyich Tchaikovsky's 170th Birthday
7/20/2010,Doodle 4 Google 2010 - Colombia Winner
2/28/2010,Lantern Festival 2010
6/21/2010,Jean-Paul Sartre's 105th Birthday
7/21/2010,Belgium National Day 2010
4/9/2010,Vlasta Burian's Birthday
5/13/2010,Children's Day' (Sweden - SE)
5/14/2010,Paraguay Independence Day 2010
5/13/2010,Father's Day 2010 - Multiple Countries on Various Dates
6/22/2010,Konrad Zuse's 100th Birthday
7/23/2010,Peder Severin Krøyer's 159th Birthday
4/15/2010,Children's Day 2010 - Multiple Countries on Various Dates
5/15/2010,Teachers' Day 2010 - Multiple Countries on Various Dates
5/14/2010,Singapore Art Festival 2010
6/29/2010,Antoine de Saint-Exupery's 110th Birthday
7/24/2010,Arthur Boyd's 90th Birthday
4/16/2010,Italian Culture Week
4/17/2010,Karen Blixen's 125th Birthday
4/17/2010,Josif Pancic's Birthday
6/26/2010,Sunthorn Phu's 224th Birthday
4/22/2010,Earth Day 2010
3/1/2010,Frederic Chopin's 200th Birthday
3/2/2010,Doodle 4 Google 2010 - Ireland Winner
3/3/2010,Girls Day 2010 - Japan
5/25/2010,Jordan National Day 2010
4/20/2010,Independence Day Israel 2010
5/21/2010,30th Anniversary of PAC-MAN
4/19/2010,Feria de Abril
5/17/2010,Martin Kukucin's 150th Birthday
3/1/2010,St. David's Day 2010
3/1/2010,Holi Festival 2010
3/1/2010,Martisor 2010
5/25/2010,Argentina's Bicentennial Independence
7/24/2010,Alfonse Mucha's 150th Birthday
4/23/2010,National Sovereignty and Children's Day 2010 - Turkey
3/4/2010,Antonio Vivaldi's Birthday
3/6/2010,Vasaloppet 2010
4/23/2010,St. George's Day 2010
3/3/2010,Election Day 2010 - Netherlands
3/7/2010,Alessandro Manzoni's Birthday
3/12/2010,Arbor Day 2010
3/14/2010,Felix Rodriguez de la Fuente's Birthday
3/8/2010,Women's Day 2010 - Russian
5/29/2010,John Harsányi's Birthday
4/25/2010,ANZAC Day 2010 - Australia
4/25/2010,ANZAC Day 2010 - New Zealand
3/13/2010,Holmenkollen Ski Festival 2010
5/28/2010,Milutin Milankovich's Birthday
5/29/2010,Isaac Albeniz's 150th Birthday
5/27/2010,Doodle 4 Google 2010 - US by Makenzie Melton
4/24/2010,Hubble Space Telescope's 20th Anniversary
4/30/2010,Queen's Day 2010
3/14/2010,Mother's Day 2010 - UK & Ireland
4/29/2010,225th Birthday of Karl Drais
3/14/2010,Pi Day
3/15/2010,Hungarian National Day
3/23/2010,Akira Kurosawa's Birthday
3/17/2010,Happy St. Patrick's Day 2010
3/20/2010,Persian New Year 2010
3/28/2010,Jan Amos Komensky's 418th Birthday
3/24/2010,44th Anniversary of the First Israeli TV Broadcast
1/1/2010,Happy New Year 2010!
1/4/2010,Sir Isaac Newton's 367th Birthday
1/11/2010,Coming of Age Day 2010
1/20/2010,Festival of San Sebastian
1/18/2010,Dr. Martin Luther King Day 2010
1/15/2010,Istanbul 2010 European Capital of Culture
1/14/2010,Festival of Kites 2010
1/14/2010,Celebration of Chinese Culture
1/9/2010,Karel Capek's 120th Birthday
1/21/2010,Grandparent's Day 2010 - Poland
1/26/2010,Republic Day of India 2010
1/22/2010,Porridge Day 2010
1/29/2010,Anton Chekhov's 150th Birthday
1/23/2010,Django Reinhard's 100th Birthday
1/31/2010,Tapati Rapa Nui Festival 2010
