DoodleDate,Doodle
7/18/2014,Nelson Mandela's 96th Birthday
9/5/2013,John Wisden's 187th Birthday
9/6/2013,Leonidas da Silva's 100th Birthday
9/6/2013,Jane Addams' 153rd Birthday
9/4/2013,Kenzo Tange's 100th Birthday
9/7/2013,Australia Elections 2013
9/7/2013,Brazil Independence Day 2013
11/3/2013,Panama Independence Day 2013
11/2/2013,Day of the Dead 2013
11/4/2013,Shakuntala Devi's 84th Birthday
11/5/2013,Raymond Loewy's 120th Birthday
11/7/2013,Albert Camus's 100th Birthday
11/7/2013,Ary Barroso's 110th Birthday
11/7/2013,C.V. Raman's 125th Birthday
11/7/2013,Rafael Pombo's 180th Birthday
11/8/2013,Hermann Rorschach's 129th Birthday
3/8/2014,International Women's Day 2014
11/11/2013,Veterans Day 2013
11/11/2013,Carlos Fuentes' 85th Birthday
11/11/2013,Poland Independence Day 2013
11/12/2013,Leon Štukelj's 115th Birthday
11/14/2013,Doodle 4 Google 2013 - India Winner
11/15/2013,Emil Racovi??'s 145th Birthday
11/17/2013,Chile Election Day 2013
11/18/2013,Latvia Independence Day 2013
11/18/2013,Juan Carlos Castagnino's 105th Birthday
12/2/2013,Doodle 4 Google 2013 - Japan Winner
11/18/2013,Morocco Independence Day 2013
11/19/2013,Helena Zmatlíková's 90th Birthday
12/2/2013,Carlos Merida's 122nd Birthday
12/4/2013,Gae Aulenti's 86th Birthday
12/2/2013,Maria Callas' 90th Birthday
11/20/2013,Selma Lagerlöf's 155th Birthday
12/3/2013,Carlos Juan Finlay's 180th Birthday
12/2/2013,United Arab Emirates National Day 2013
11/20/2013,Children's Day 2013 (Multiple Countries)
11/22/2013,Lebanon Independence Day 2013
12/10/2013,Sven Wingquist's 137th Birthday
12/9/2013,Grace Hopper's 107th Birthday
12/5/2013,Fyodor Tutchev's 210th Birthday
12/10/2013,Milan Rúfus' 85th Birthday
12/12/2013,Kenya Independence Day 2013
11/24/2013,Teacher's Day 2013 (Turkey)
12/13/2013,Antoni Tapies 90th Birthday
12/12/2013,Yasujiro Ozu's 110th Birthday
12/14/2013,Tycho Brahe's 467th Birthday
12/13/2013,Kristian Birkeland's 146th Birthday
11/23/2013,Doctor Who's 50th Anniversary
12/13/2013,Emily Carr's 142nd Birthday
11/28/2013,Claude Lévi-Strauss's 105th Birthday
12/21/2013,100th Anniversary of the Crossword Puzzle
12/16/2013,Bahrain National Day 2013
12/18/2013,Qatar National Day 2013
11/25/2013,Ivan Nechuy-Levytsky's 175th Birthday
12/24/2013,Holiday Series 2013 #1
11/28/2013,Thanksgiving 2013
11/28/2013,EXPO 2020 in Dubai
11/30/2013,Saint Andrew's Day 2013
5/1/2013,Labor Day 2013
5/1/2013,Labor Day 2013 (France)
5/5/2013,Malaysia Elections 2013
5/2/2013,Satyajit Ray's 92nd Birthday
5/5/2013,Søren Kierkegaard's 200th Birthday
5/5/2013,Children's Day 2013 (Korea)
5/6/2013,Mihailo Petrovi? Alas' 145th birthday
5/8/2013,Saul Bass' 93rd Birthday
5/8/2013,Parent's Day 2013
5/9/2013,Gustaf de Laval's 168th birthday
5/12/2013,Mother's Day 2013
5/13/2013,Philippines Elections 2013
5/14/2013,Doodle 4 Google 2013 - Greece Winner
5/14/2013,Antonio Berni's 108th Birthday
5/15/2013,Teacher's Day 2013
5/15/2013,Frank Hornby's 150th Birthday
5/15/2013,Viktor Vasnetsov's 165th Birthday
5/16/2013,The National Theatre's 145 Anniversary
5/15/2013,Paraguay Independence Day 2013
5/18/2013,Charles Trenet's 100th Birthday
5/20/2013,Exposición Universal de Barcelona's 125th anniversary
5/23/2013,140th Anniversary of the RCMP
5/23/2013,Doodle 4 Google 2013 - US Winner
6/20/2013,Aleksander Fredro's 220th birthday
6/17/2013,Henry Lawson's 146th Birthday
5/29/2013,Leah Goldberg's 102nd Birthday
5/26/2013,Mother’s Day 2013 International
5/25/2013,Jordan Independence Day 2013
6/21/2013,First Day of Winter 2013
1/1/2013,New Year's Day 2013
1/11/2013,Czech Republic Election Day 2013
6/21/2013,Zlatko Grgi?'s 82nd Birthday
5/31/2013,Julius Richard Petri's 161st Birthday
5/30/2013,Potato Day 2013
1/2/2013,Bar?? Manço's 70th Birthday
1/7/2013,Nanakusa Gayu (7 Herb Porridge)
1/7/2013,Eliezer Ben Yehuda's 155th Birthday
1/9/2013,150th Anniversary of the Tube
1/12/2013,Children's Day 2013 (Thailand)
6/21/2013,First Day of Summer 2013
1/16/2013,Zamboni
1/18/2013,Rubén Darío's 146th Birthday
1/21/2013,Grandparents' Day 2013
1/17/2013,Cecilia May Gibbs' 136th Birthday
1/21/2013,Emma Gad's 161th Birthday
1/13/2013,Aleko Konstantinov's 150th birthday
6/25/2013,Antoni Gaudí's 161st Birthday
6/29/2013,The 100th Tour de France
6/23/2013,Mt. Fuji becomes a World Heritage site
1/21/2013,Dr. Martin Luther King Day 2013
1/22/2013,Israel Elections 2013
6/30/2013,Herta Heuwer's 100th Birthday
1/23/2013,Andrija Mohorovi?i?'s 156th Birthday
1/25/2013,Juraj Jánošík's 325th Birthday
1/26/2013,Republic Day 2013
1/31/2013,Jackie Robinson's 94th Birthday
1/26/2013,Australia Day 2013
1/30/2013,Leonid Gaidai's 90th Birthday
12/25/2013,Salah Jahin's 83rd Birthday
12/25/2013,Holiday Series 2013 #2
12/31/2013,New Year's Eve 2013
12/30/2013,Daniil Kharms' 108th Birthday
12/27/2013,Johannes Kepler's 442nd Birthday
12/26/2013,Holiday Series 2013 #3
4/5/2013,Arbor Day 2013
4/9/2013,Charles Baudelaire's 192nd Birthday
4/10/2013,25th Anniversary of the Opening of the Great Seto Bridge
4/9/2013,Hong Xun Tao's 85th Birthday
4/7/2013,500th Anniversary of the Piri Reis Map
4/13/2013,Songkran Festival 2013
4/15/2013,Leonhard Euler's 306th Birthday
4/10/2013,Bernardo Alberto Houssay's 126th Birthday
4/16/2013,Israel Independence Day 2013
4/14/2013,Alfredo Volpi's 117th Birthday
4/16/2013,160th Anniversary of the First Passenger Train in India
4/17/2013,Chavela Vargas' 94th Birthday
4/16/2013,Doodle 4 Google 2013 - Ireland Winner
4/21/2013,Sir Norman Parkinson's 100th Birthday
4/17/2013,Adam Frantisek Kollar's 295th Birthday
