DoodleDate,Doodle
4/18/2013,Doodle 4 Google 2013 - Turkey Winner
4/25/2013,Ella Fitzgerald's 96th Birthday
4/24/2013,Gabriel Figueroa's 106th Birthday
4/22/2013,Earth Day 2013
4/27/2013,South African Freedom Day 2013
4/22/2013,Dooly the Little Dinosaur's Birthday
4/23/2013,National Sovereignty and Children's Day 2013
4/23/2013,St. George's Day 2013
4/30/2013,Queens Day 2013
4/30/2013,Children's Day 2013 (Mexico)
4/30/2013,Jaroslav Hasek's 130th Birthday (CZ)
6/10/2013,Portugal National Day 2013
10/20/2013,Doodle 4 Google 2013 - Kenya Winner
10/21/2013,Celia Cruz's 88th Birthday
10/22/2013,216th Anniversary of the First Parachute Jump
6/10/2013,Maurice Sendak's 85th Birthday
6/12/2013,Dia Dos Namorados 2013
6/12/2013,Dragon Boat Festival 2013
6/12/2013,Philippine Independence Day 2013
10/26/2013,Austria National Day 2013
10/28/2013,Edith Head's 116th Birthday
6/13/2013,Dano (Korean Festival Day) 2013
6/15/2013,Kobayashi Issa's 250th Birthday
10/30/2013,Agustin Lara's 113th Birthday (latam)
10/31/2013,Halloween 2013
10/29/2013,Republic Day Turkey 2013
6/16/2013,Father's Day 2013
6/16/2013,Granadas Millenium
8/1/2013,Swiss National Day 2013
8/9/2013,Wilbur Norman Christiansen's 100th Birthday
8/9/2013,Singapore National Day 2013
8/1/2013,Maria Mitchell's 195th Birthday
8/8/2013,Mugunghwa Day
8/7/2013,Abebe Bikila's 81st Birthday
8/13/2013,Qixi Festival / Chilseok
8/12/2013,Erwin Schrödinger's 126th Birthday
8/15/2013,Ivan Mestrovic's 130th Birthday
8/15/2013,India Independence Day 2013
8/15/2013,KR Liberation Day
8/14/2013,Pakistan Independence Day 2013
8/15/2013,Edith Nesbit's 155th Birthday
8/22/2013,Claude Debussy's 151st Birthday
8/17/2013,Indonesia Independence Day 2013
8/19/2013,200th Anniversary of Chile's National Library
8/24/2013,Ukraine Independence Day 2013
8/25/2013,Uruguay Independence Day 2013
8/26/2013,Rufino Tamayo's 114th Birthday
8/27/2013,Natalia Sats's 110th Birthday
8/27/2013,First Day of School 2013
8/31/2013,Hari Merdeka/Malaysia Independence Day 2013
8/28/2013,"50th Anniversary of the ""I Have a Dream"" Speech"
9/13/2013,Karolos Koun's 105th Birthday
9/10/2013,Teacher's day 2013 (China)
9/15/2013,Nicaragua Independence Day 2013
9/15/2013,Honduras Independence Day 2013
9/9/2013,"100th anniversary of the first aviation ""loop de loop"" by Petr Nesterov"
10/1/2013,Childrens Day 2013 (Guatemala)
10/1/2013,Emilio Pettoruti's 121st Birthday
10/1/2013,123rd anniversary of Yosemite National Park
9/16/2013,M. S. Subbulakshmi's 97th Birthday
9/15/2013,Guatemala Independence Day 2013
10/1/2013,Nigeria Independence Day 2013
9/16/2013,Mexico Independence Day 2013
9/15/2013,El Salvador Independence Day 2013
9/15/2013,Costa Rica Independence Day 2013
10/8/2013,William John Swainson's 224th Birthday
10/1/2013,China National Day 2013
10/1/2013,Childrens Day 2013 (El Salvador)
10/3/2013,German Reunification Day 2013
10/12/2013,Children's Day 2013 (Brazil)
10/9/2013,Agnieszka Osiecka's 77th Birthday (Poland)
10/10/2013,Leyla Gencer's 85th Birthday
9/18/2013,Léon Foucault's 194th Birthday
9/17/2013,Max Švabinský's 140th Birthday
9/18/2013,Uzeyir Hacibeyov's 128th Birthday (Azerbaijan)
10/9/2013,Uganda Independence Day 2013
9/18/2013,203rd anniversary of the First Government Assembly in Chile
9/19/2013,Mid Autumn Festival 2013 Japan
10/15/2013,Friedrich Nietzsche's 169th Birthday
10/18/2013,Azerbaijan Independence Day 2013
10/14/2013,Katherine Mansfield's 125th Birthday
9/19/2013,Robert Storm Petersen's 131st Birthday
9/19/2013,Mid Autumn Festival 2013
9/19/2013,Thanksgiving Day 2013 Korea
9/20/2013,Olga Ferri's 85th Birthday (Argentina)
10/19/2013,Vinicius de Moraes's 100th Birthday
9/21/2013,Arbor Day 2013 Brazil
9/22/2013,German Elections 2013
9/23/2013,100th anniversary of the first non-stop flight across the Mediterranean Sea
9/25/2013,Maria T?nase's 100th Birthday
9/23/2013,Saudi National Day 2013
9/27/2013,Google's 15th Birthday
9/28/2013,Teacher's Day 2013 (Taiwan)
9/29/2013,Austria Elections 2013
1/27/2014,Doodle 4 Google 2013 - New Zealand winner
1/26/2014,Australia Day 2014 / Doodle 4 Google 2013 winner
7/1/2013,Canada Day 2013
7/1/2013,Alhazen's 1048th Birthday
7/7/2013,Tanabata (Star Festival)
7/3/2013,Franz Kafka's 130th Birthday
7/5/2013,Venezuelas Independence Day 2013
7/7/2013,Vladimir Durov's 150th Birthday
7/4/2013,Ukichiro Nakaya's 113th Birthday
7/3/2013,Li Shizhen's 495th Birthday
7/4/2013,4th of July
7/4/2013,Pedro Nel Gómez's 114th Birthday
7/2/2013,Wis?awa Szymborska's 90th Birthday
7/8/2013,Roswell's 66th Anniversary
7/11/2013,Anibal Troilo's 99th Birthday
7/12/2013,Claude Bernard's 200th Birthday
7/14/2013,Bastille Day
7/15/2013,Rembrandt van Rijn's 407th Birthday
3/1/2013,St. David's Day 2013
7/9/2013,Saturnino Herrán's 126th Birthday
7/14/2013,Ingmar Bergman's 95th Birthday
3/1/2013,Ramón Gómez Cornet's 115th Birthday
3/1/2013,Ryunosuke Akutagawa's 121st Birthday
6/1/2013,Children’s Day 2013 (Poland)
6/4/2013,Vladislav Gorodetsky's 150th Birthday
7/20/2013,Colombia Independence Day 2013
7/21/2013,Children's Day 2013 (Panama)
3/3/2013,Bulgaria Liberation Day 2013
3/4/2013,Miriam Makeba's 81st Birthday
6/1/2013,Children's Day 2013 (Russia)
6/5/2013,Federico García Lorca's 115th Birthday
7/21/2013,Japan Election Day 2013
7/21/2013,Belgium National Day 2013
6/8/2013,Primož Trubar's 505th Birthday
3/6/2013,Ghana Independence Day 2013
3/4/2013,Kenya Election Day 2013
6/5/2013,Thomas Chippendale's 295th Birthday
7/22/2013,Tu B'av 2013
7/22/2013,Warda Al-Jazairia's 74th Birthday
7/23/2013,Children's Day 2013 (Indonesia)
7/25/2013,Rosalind Franklin's 93rd Birthday
7/25/2013,Tunisia Republic Day 2013
3/8/2013,Women's Day 2013
3/7/2013,Volodymyr Dakhno's 81st Birthday
2/1/2013,María Elena Walsh's 83rd Birthday
3/9/2013,Luis Barragan's 111th Birthday
2/4/2013,Sri Lanka Independence Day 2013
7/28/2013,Peru Independence Day 2013
2/3/2013,Polde Bibi?'s 80th Birthday
2/4/2013,Manuel Alvarez Bravo's 111st Birthday
2/4/2013,Josef Kajetán Tyl's 205th Birthday
2/5/2013,64th anniversary of Alberto Larraguibel's record setting Puissance jump
2/8/2013,Jagjit Singh's 72nd Birthday
2/9/2013,Barranquilla Carnival
3/11/2013,Douglas Adams' 61st Birthday
3/12/2013,Evert Taube's 123rd Birthday
2/6/2013,Mary Leakey's 100th Birthday
2/4/2013,Last day of the Canadian Penny
2/10/2013,Lunar New Year 2013 - Korea
3/10/2013,Joseph von Eichendorff's 225th Birthday
3/12/2013,André Le Nôtre's 400th Birthday
7/29/2013,National Thai Language Day
2/11/2013,Argentina Carnival
2/12/2013,Carnival 2013
3/20/2013,Henrik Ibsen's 185th Birthday
3/15/2013,Hungary National Day 2013
3/21/2013,Persian New Year 2013
2/10/2013,Chinese New Year 2013
2/10/2013,Lunar New Year 2013 - Vietnam
2/11/2013,Elsa Beskow's 139th Birthday
3/12/2013,Vladimir Vernadsky's 150th Birthday
3/17/2013,St. Patrick's Day 2013
2/15/2013,Serbia National Day 2013
2/18/2013,Nasir al-Din al-Tusi's 812th Birthday
2/21/2013,Park Su-Geun's Birthday
3/25/2013,Adalbert Czerny's 150th Birthday
3/26/2013,Prokop Diviš's 315th Birthday
3/31/2013,Cesar Chavez's 86th Birthday
2/14/2013,Valentine's Day and George Ferris' 154th Birthday
2/15/2013,Anne Cath Vestly's 93rd birthday
2/16/2013,Lithuania Act of Independence 2013
2/19/2013,Nicolaus Copernicus' 540th Birthday
2/13/2013,Fyodor Shalyapin's 140th Birthday
3/21/2013,Rafael Bordalo Pinheiro's 167th Birthday
3/26/2013,Bangladesh Independence Day 2013
3/31/2013,Shoshana Damari's 90th Birthday
2/22/2013,Edward Gorey's 88th Birthday
2/27/2013,Dominican Republic Independence Day 2013
2/24/2013,Lantern Festival 2013
2/22/2013,Arthur Schopenhauer's 225th Birthday
2/22/2013,Victor Brecheret's 119th Birthday
2/24/2013,Estonia Independence Day 2013
2/25/2013,Kuwait National Day 2013
2/24/2013,Italian Elections 2013
4/2/2013,Maria Sibylla Merian's 366th Birthday
4/1/2013,Wangari Maathai 73rd Birthday
4/1/2013,Jorge Isaacs' 176th Birthday
4/4/2013,Senegal Independence Day 2013
4/3/2013,Henry van de Velde's 150th Birthday
