DoodleDate,Doodle
5/26/2015,Sally Ride’s 64th Birthday
12/1/2012,Doodle 4 Google 2012 - Romania Winner
12/6/2012,Finland Independence Day 2012
12/7/2012,Ghana Elections 2012
12/8/2012,Bjørnstjerne Bjørnson´s 180th Birthday
12/10/2012,Ada Lovelace's 197th Birthday
12/2/2012,United Arab Emirates National Day 2012
12/10/2012,Doodle 4 Google 2012 - Russia Winner
12/3/2012,Doodle 4 Google 2012 - Japan Winner
12/3/2012,Hryhorii Skovoroda's 290 Birthday
12/7/2012,Día de las Velitas
12/12/2012,Kenya Independence Day 2012
12/19/2012,S. Korea Election Day 2012
12/20/2012,200th Anniversary of Grimm's Fairy Tales
12/16/2012,Zoltán Kodály's 130th Birthday
12/18/2012,120th Anniversary of the Nutcracker Ballet
12/16/2012,Japan Elections 2012
12/12/2012,50th Anniversary of Bonne Nuit les Petits
12/14/2012,Xul Solar's 125th Birthday
12/13/2012,Luiz Gonzaga's 100th Birthday (br)
12/22/2012,Herman Potocnik's 120th Birthday
12/22/2012,Srinivasa Ramanujan's 125th Birthday
12/21/2012,End of the Mayan Calendar
12/24/2012,Holiday Series 2012 #1
12/28/2012,Leonardo Torres Quevedo's 160th Birthday
12/25/2012,Holiday Series 2012 #2
12/31/2012,New Year's Eve 2012
3/1/2012,Quinquela Martín's 122nd Birthday
3/1/2012,St. David's Day 2012
3/1/2012,300th Anniversary of Spain's National Library
3/2/2012,János Arany's 195th birthday
11/1/2012,L.S. Lowry's 125th Birthday
11/2/2012,Day of the Dead 2012
3/3/2012,Bulgaria Liberation Day 2012
11/2/2012,Odysseas Elitis' 101st Birthday
4/1/2012,"13th Anniversary of the 4 unit VLT telescope: Antu, Kueyen, Melipal and Yepun"
3/3/2012,Girls' Day 2012
3/5/2012,Heitor Vila Lobos' 125th Birthday
11/3/2012,Panama Independence Day 2012
3/6/2012,Ghana Independence Day 2012
3/7/2012,Alessandro Manzoni's 227th Birthday
4/4/2012,Senegal Independence Day 2012
4/9/2012,Elias Lönnrot's 210th Birthday
11/6/2012,Election Day U.S.
11/3/2012,Samuil Marshak's 125th Birthday
3/12/2012,Chinese Arbor Day 2012
4/13/2012,Songkran Festival 2012
4/10/2012,Lee Jung-seob's 96th Birthday
11/8/2012,Bram Stoker's 165th Birthday
3/8/2012,Women's Day 2012
4/9/2012,Eadweard J. Muybridge's 182nd Birthday
11/9/2012,Feng Zikai's 114th Birthday
11/10/2012,Hachiko's 89th Birthday
3/13/2012,Mohammed Abdel Wahab's 110th Birthday
3/14/2012,Akira Yoshizawa's 101st Birthday
4/14/2012,Robert Doisneau's 100th Birthday
4/15/2012,Wilhelm Busch's 180th Birthday
11/9/2012,Paul Abadie's 200th Birthday
9/3/2012,Chabuca Granda's 92nd Birthday
9/1/2012,First Day of School 2012 (Russia)
11/11/2012,Roberto Matta's 101st Birthday
11/11/2012,Poland Independence Day 2012
11/12/2012,Auguste Rodin's 172nd Birthday
3/15/2012,Hungarian National Day 2012
3/16/2012,Cesar Vallejo's 120th Birthday
4/18/2012,Jan Kaplický's 75th Birthday
9/7/2012,Brazil Independence Day 2012
9/8/2012,46th Anniversary of Star Trek's 1st Broadcast
9/8/2012,Macedonia Independence Day 2012
9/4/2012,Al-Biruni's Birthday
11/11/2012,Veterans Day 2012
10/3/2012,Anton Bernolak's 250th Birthday
11/14/2012,Amadeu de Souza-Cardoso's 125th Birthday
11/14/2012,Doodle 4 Google 2012 - India Winner
3/16/2012,Doodle 4 Google 2012 - Ireland Winner
3/17/2012,St. Patrick's Day 2012
4/18/2012,Antero de Quental's 200th Birthday
4/20/2012,Eduard Slavoljub Penkala's 141st Birthday
9/11/2012,Teachers’ Day 2012 (Argentina)
9/10/2012,Teachers' Day 2012 (China)
9/12/2012,Election Day Netherlands 2012
9/13/2012,Clara Schumann's 193rd Birthday
10/3/2012,German Reunification Day 2012
11/13/2012,Anniversary of the 1st use of the Canadarm in space
11/17/2012,Sierra Leone Elections 2012
3/18/2012,Mother's Day 2012 - Select Countries
4/21/2012,Friedrich Fröbel's 230th Birthday
4/21/2012,Brasilia's Anniversary
6/1/2012,Doodle 4 Google 2012 - China Winner
9/15/2012,Costa Rica Independence Day 2012
9/15/2012,Nicaragua Independence Day 2012
10/7/2012,Brazilian Elections 2012
10/9/2012,Uganda Independence Day 2012
11/26/2012,Ernie Coombs' (Mr Dressup) 85th Birthday
11/22/2012,Lebanon National Day 2012
3/19/2012,200th Anniversary of Spain's Constitution
7/1/2012,Mexican Elections 2012
7/1/2012,Canada Day 2012
9/15/2012,Honduras Independence Day 2012
9/15/2012,El Salvador Independence Day 2012
11/22/2012,Thanksgiving 2012
10/5/2012,Brian Ó Nualláin's 101st Birthday
10/6/2012,Francisco Gabilondo Soler's 105th Birthday
10/7/2012,Niels Bohr's 127th Birthday
10/7/2012,Janusz Korczak's Year
11/18/2012,Morocco National Day 2012
11/20/2012,Otto von Guericke's 410th Birthday
11/28/2012,Albania Independence Day 2012
11/18/2012,Latvia Independence Day 2012
5/1/2012,Worker's Day/Labor Day 2012
5/1/2012,Ramón y Cajal 160th Birthday
5/4/2012,Keith Haring's 54th Birthday
6/2/2012,Republic Day Italy 2012
6/2/2012,Queen's Jubilee
7/4/2012,4th of July 2012
7/4/2012,Inauguration of Hartland Bridge
7/5/2012,Algeria Independence Day 2012
7/5/2012,Venezuela Independence Day 2012
7/6/2012,José María Velasco's 172nd Birthday
9/15/2012,Guatemala Independence Day 2012
9/16/2012,Mexico Independence Day 2012
10/15/2012,107th Anniversary of Little Nemo in Slumberland
10/18/2012,161st Anniversary of Moby Dick's First Publishing
11/30/2012,St Andrew's Day 2012
10/16/2012,Hisashige Tanaka's 213th Birthday
10/11/2012,Alicia Moreau de Justo's 127th Birthday
3/19/2012,80th Birthday The Sydney Harbour Bridge
5/6/2012,France Elections 2012
5/6/2012,Greece Elections 2012
4/22/2012,Grace Cossington-Smith's 120th Birthday
9/15/2012,Adolfo Bioy Casares' 98th Birthday
10/9/2012,Ivo Andric's 120th Birthday
3/19/2012,"Father's Day March 19, 2012"
3/20/2012,First Day of Fall 2012
4/22/2012,Earth Day 2012
5/9/2012,Howard Carter's 138th Birthday
5/8/2012,Parent's Day 2012
5/7/2012,Wladyslaw Reymont's 145th Birthday
6/6/2012,Sweden National Day 2012
6/8/2012,Doodle 4 Google 2012 - Poland Winner
6/9/2012,Johann Gottfried Galle's 200th Birthday
7/7/2012,Yanka Kupala's 130th Birthday
7/8/2012,František Križík's 165th Birthday
9/18/2012,202nd anniversary of the First Government Assembly in Chile
9/23/2012,Saudi Arabia National Day 2012
10/29/2012,Bob Ross' 70th Birthday
10/26/2012,Austria National Day 2012
10/29/2012,Republic Day Turkey 2012
10/22/2012,Abu Simbel
4/23/2012,National Sovereignty and Children's Day 2012
5/9/2012,Royal Ploughing Ceremony and Farmer's Day
6/6/2012,79th Anniversary of the First Drive-in Movie
7/14/2012,Gustav Klimt's 150th Birthday
7/9/2012,Argentina Independence Day 2012
7/14/2012,Bastille Day 2012
9/23/2012,Solomiya Krushelnytska's 140th Birthday
9/17/2012,Konstantin Tsiolkovsky's 155th birthday
9/21/2012,Edgar Valter's 84th Birthday
10/21/2012,Jonas Maciulis-Maironis' 150th Birthday
10/27/2012,Sugarloaf Cable Car's 100th Anniversary
1/1/2012,New Year's Day 2012
3/20/2012,Tunisia National Day 2012
4/23/2012,St. George's Day / The 30th Anniversary of the ZX Spectrum
5/10/2012,Mahmoud Mokhtar's 121st Birthday
5/16/2012,Juan Rulfo's 95th Birthday
5/15/2012,Paraguay Independence Day 2012
6/12/2012,Philippines Independence Day 2012
6/12/2012,Dia Dos Namorados 2012
7/20/2012,Colombia Independence Day 2012 by Armando Villegas
7/21/2012,Belgium National Day 2012
9/27/2012,Google's 14th Birthday
9/24/2012,Howard Florey's 114th Birthday
3/20/2012,First Day of Spring 2012
5/13/2012,Mother's Day 2012
5/12/2012,Edward Lear's 200th Birthday
6/12/2012,Russia Day 2012
7/24/2012,Amelia Earhart's 115th Birthday
7/20/2012,Santos Dumont's 139th Birthday
7/25/2012,Jaakonpäivä
10/31/2012,Halloween 2012
1/7/2012,Oskar Luts' 125th Birthday
1/9/2012,Luis Coloma's 161st Birthday
3/20/2012,Persian New Year 2012
4/24/2012,Gideon Sundback's 132nd Birthday
5/19/2012,The Start of Turkish Youth Week
7/28/2012,Peru Independence Day 2012
7/27/2012,Opening Ceremony 2012
7/29/2012,Diving 2012
7/30/2012,Fencing 2012
9/30/2012,Moon Festival / Mid-Autumn Festival 2012
9/28/2012,David Unaipon's 140th Birthday
1/7/2012,Charles Addams' 100th Birthday
1/6/2012,Happy Holidays 2011
4/26/2012,Israel Independence Day 2012
5/18/2012,Omar Khayyam's 964th Birthday
5/18/2012,Minakata Kumagusu's 145th Birthday
5/18/2012,Doodle 4 Google 2012 - US by Dylan Hoffman
6/21/2012,Yuri Kondratyuk's 115th Birthday
6/21/2012,Viktor Tsoi's 50th Birthday
5/23/2012,Egyptian Elections 2012
5/21/2012,Japanese Annular Eclipse
7/28/2012,Archery 2012
7/31/2012,Rings 2012
9/30/2012,Chuseok 2012
1/14/2012,Taiwan Elections 2012
1/14/2012,National Children's Day 2012
3/23/2012,Juan Gris' 125th Birthday
5/23/2012,Robert Moog's 78th Birthday
5/25/2012,Jordan Independence Day 2012
6/23/2012,Alan Turing's 100th Birthday
6/28/2012,Luigi Pirandello's 145th Birthday
1/11/2012,Nicolas Steno's 374th Birthday
2/6/2012,Lantern Festival 2012
2/6/2012,François Truffaut's 80th Birthday
2/7/2012,Charles Dickens' 200th Birthday
2/9/2012,Doodle 4 Google 2012 - New Zealand Winner
2/8/2012,Ito Jakuchu's 296th Birthday
4/27/2012,Theo Angelopoulos' 77th Birthday
5/26/2012,Rafael Escalona's 85th Birthday
5/27/2012,75th Anniversary of the Golden Gate Bridge
6/23/2012,"Father's Day June 23, 2012"
1/16/2012,Dr. Martin Luther King Day 2012 by Faith Ringgold
2/15/2012,Serbian National Day 2012
2/11/2012,May Ziade's 126th Birthday
1/18/2012,SOPA / PIPA
5/30/2012,Peter Carl Fabergé's 166th Birthday
5/31/2012,100th Anniversary of the Pushkin Museum
6/28/2012,JJ Rousseau's 300th Birthday
1/16/2012,Teachers' Day 2012
2/12/2012,Anna Pavlova's 131st Birthday
2/14/2012,Valentine's Day 2012
2/16/2012,Lithuanian Act of Independence 2012
5/28/2012,Ruby Payne-Scott's 100th Birthday
6/28/2012,Sergiu Celibidache's 100th Birthday
1/20/2012,Federico Fellini's 92nd Birthday (it)
1/20/2012,Omar Rayo's 84th Birthday
2/23/2012,Hyo-seok Lee's Birthday
2/21/2012,Carnival 2012
5/31/2012,Francisco Pascasio Moreno's 160th Birthday
6/29/2012,Josef Ressel's 219th Birthday
1/21/2012,Grandparents' Day 2012
1/18/2012,Havoc in Heaven
2/17/2012,Agniya Barto's 106th birthday
2/22/2012,Heinrich Rudolf Hertz's 155th Birthday
2/24/2012,Estonian Independence Day 2012
3/27/2012,Mies van der Rohe's 126th Birthday
4/27/2012,Tato Bores' 85th Birthday
6/29/2012,José Pablo Moncayo's 100th Birthday
1/23/2012,Jože Plecnik's 140th Birthday
1/25/2012,Vladmir Vysotsky's 74th Birthday
2/25/2012,Ibn Battuta's 708th Birthday
2/25/2012,Kuwait National Day 2012
1/23/2012,Chinese New Year 2012
1/26/2012,Republic Day 2012
2/27/2012,Dominican Republic Independence Day 2012
2/29/2012,Gioachino Rossini's 220th Birthday / Leap Year 2012
4/30/2012,Queen's Day 2012
1/28/2012,125th Anniversary of the Largest Snowflake
1/26/2012,Doodle 4 Google 2012 - Australia Winner
1/30/2012,I.L. Caragiale's 160th birthday
1/31/2012,Atahualpa Yupanqui's 104th Birthday
2/29/2012,Marcela Paz's 110th Birthday
1/31/2012,Discovery of the Iguacu Falls
8/17/2012,Indonesia Independence Day 2012
8/24/2012,Ukraine Independence Day 2012
8/23/2012,Alexander Grin's 132th Birthday
8/23/2012,Chinese Valentine's Day 2012
8/21/2012,Consuelo Velazquez's 96th Birthday
8/25/2012,Uruguay Independence Day 2012
8/26/2012,Rhazes' 1147th Birthday
8/31/2012,Malaysia Independence Day 2012
8/27/2012,First Day of School 2012 (Israel)
8/27/2012,Republic of Moldova Independence Day 2012
8/31/2012,Maria Montessori's 142nd Birthday
8/2/2012,Table Tennis 2012
8/1/2012,Field Hockey 2012
8/4/2012,Pole Vault 2012
8/3/2012,Tu B'av 2012
8/3/2012,Shot Put 2012
8/5/2012,Synchronized Swimming 2012
8/6/2012,Bolivia Independence Day 2012
8/6/2012,Javelin 2012
8/7/2012,Hurdles 2012
8/10/2012,Ecuador Independence Day 2012
8/9/2012,Slalom Canoe 2012
8/10/2012,Soccer 2012
8/8/2012,Basketball 2012
8/13/2012,Cassiano Branco's 115th Birthday
8/12/2012,Closing Ceremony 2012
8/14/2012,Pakistan Independence Day 2012
8/11/2012,Rhythmic Gymnastics 2012
8/15/2012,India Independence Day 2012
8/15/2012,Julia Child's 100th Birthday
8/15/2012,National Liberation Day of Korea 2012
6/17/2012,"Father's Day June 17, 2012"
